LATDECIMALNMB,LONGDECIMALNMB
41.44928,-87.364864
41.673523,-86.89396398
41.616985,-87.02837
40.192736,-85.39221192
0,0
39.91368989,-86.10995829
38.351488,-85.75056
39.86092002,-84.88847827
39.83593159,-86.02767835
38.32522,-85.76524
39.42048,-87.41472
38.22838423,-86.86078309
41.03881,-86.59679
40.4809,-85.59919
39.46575086,-87.44638629
39.960176,-86.04060669
0,0
41.36354777,-85.03760969
41.17475,-87.22652
38.32286942,-85.81755715
40.17405,-85.49282
40.01172,-86.00828
38.94783,-85.86222
40.00304,-86.12742265
38.352048,-85.94136
39.90516661,-86.06318122
40.4589429,-86.96196214
39.8413131,-86.16903856
38.75227,-85.57551
40.27075233,-85.67149453
38.31594463,-85.9140779
37.96427,-87.49115
39.16025,-86.54012
40.11908833,-87.24956212
40.18104,-85.461776
40.39419,-86.85461
39.76435497,-86.15869832
40.529888,-85.639376
38.3800778,-85.76821704
0,0
40.05249486,-86.12767886
40.279584,-86.510992
41.687181,-86.017856
38.31631222,-85.82065557
39.657104,-85.138592
41.55245,-85.7859
40.01229,-86.90429
40.21756014,-85.44076366
38.35151998,-85.75052163
41.711248,-85.914496
40.806608,-85.829408
39.79712,-86.01005
40.03991,-86.86485
40.40011,-86.83504
41.17925,-85.13497
41.68101,-86.17985
41.72305838,-86.21655287
39.76112267,-86.157764
41.63056,-86.21351
41.070544,-86.21576
40.454336,-86.928704
40.464919,-86.168758
41.57452931,-87.23156245
39.65981,-86.13452
38.60568692,-85.6437917
40.19688,-85.38168
39.47981576,-86.06392851
40.74624,-85.17056
41.72264457,-86.90439118
40.81809959,-84.91839118
40.20004931,-85.39449078
39.76315,-86.34699
40.10786253,-85.67805943
